subset,tool,level,lof_pct,gof_pct,gap,pval,lof_n,gof_n
Full De Franco catalog,AM,Supporting,80.8955223880597,71.69811320754717,9.197409180512537,0.015724133277445027,335,212
Full De Franco catalog,AM,Moderate,73.13432835820896,54.24528301886792,18.88904533934104,8.203640973799907e-06,335,212
Full De Franco catalog,AM,Strong,60.59701492537314,35.84905660377358,24.747958321599555,1.728635534564625e-08,335,212
Full De Franco catalog,REVEL,Supporting,88.65671641791045,87.26415094339623,1.392565474514214,0.6844838632567485,335,212
Full De Franco catalog,REVEL,Moderate,77.01492537313433,70.28301886792453,6.731906505209807,0.08755316072839348,335,212
Full De Franco catalog,REVEL,Strong,42.6865671641791,29.71698113207547,12.969586032103631,0.0027583692361496936,335,212
"Novel variants (De Franco only, not in Hopkins)",AM,Supporting,79.79452054794521,74.83870967741936,4.955810870525852,0.23210602506290878,292,155
"Novel variants (De Franco only, not in Hopkins)",AM,Moderate,71.57534246575342,56.774193548387096,14.801148917366326,0.0022120835573382785,292,155
"Novel variants (De Franco only, not in Hopkins)",AM,Strong,59.58904109589041,40.0,19.58904109589041,9.87886594638267e-05,292,155
"Novel variants (De Franco only, not in Hopkins)",REVEL,Supporting,88.35616438356165,83.87096774193549,4.48519664162616,0.1890521279419473,292,155
"Novel variants (De Franco only, not in Hopkins)",REVEL,Moderate,75.34246575342466,67.74193548387096,7.600530269553701,0.09471740654974545,292,155
"Novel variants (De Franco only, not in Hopkins)",REVEL,Strong,40.41095890410959,27.096774193548388,13.314184710561204,0.005221887879330825,292,155
ABCC8 only,AM,Supporting,82.37547892720306,70.83333333333333,11.542145593869733,0.014855303125975522,261,120
ABCC8 only,AM,Moderate,74.71264367816092,55.833333333333336,18.87931034482758,0.00033340470645930185,261,120
ABCC8 only,AM,Strong,61.68582375478927,36.666666666666664,25.019157088122604,8.363756139073393e-06,261,120
ABCC8 only,REVEL,Supporting,87.73946360153256,80.83333333333333,6.9061302681992345,0.08488566250526115,261,120
ABCC8 only,REVEL,Moderate,74.71264367816092,57.5,17.212643678160916,0.0011757922301667855,261,120
ABCC8 only,REVEL,Strong,37.16475095785441,21.666666666666668,15.498084291187741,0.0030862839354857865,261,120
KCNJ11 only,AM,Supporting,75.67567567567568,72.82608695652173,2.8495887191539424,0.7239222192460546,74,92
KCNJ11 only,AM,Moderate,67.56756756756756,52.17391304347826,15.393654524089307,0.05679988719081437,74,92
KCNJ11 only,AM,Strong,56.75675675675676,34.78260869565217,21.974148061104586,0.005043158757011812,74,92
KCNJ11 only,REVEL,Supporting,91.89189189189189,95.65217391304348,-3.760282021151596,0.34341457390474955,74,92
KCNJ11 only,REVEL,Moderate,85.13513513513513,86.95652173913044,-1.8213866039953075,0.8224810240452165,74,92
KCNJ11 only,REVEL,Strong,62.16216216216216,40.21739130434783,21.944770857814333,0.0077426056608605335,74,92
ABCC8 novel only,AM,Supporting,81.58995815899581,74.22680412371135,7.363154035284467,0.13808313523835325,239,97
ABCC8 novel only,AM,Moderate,73.22175732217573,58.76288659793814,14.458870724237592,0.013070617366471318,239,97
ABCC8 novel only,AM,Strong,60.66945606694561,41.23711340206186,19.43234266488375,0.0015885720118640075,239,97
ABCC8 novel only,REVEL,Supporting,87.44769874476988,78.35051546391753,9.097183280852349,0.043799139565538193,239,97
ABCC8 novel only,REVEL,Moderate,73.64016736401673,57.7319587628866,15.908208601130134,0.006056226400193014,239,97
ABCC8 novel only,REVEL,Strong,37.23849372384937,20.61855670103093,16.619937022818444,0.0031010500789571205,239,97
KCNJ11 novel only,AM,Supporting,71.69811320754717,75.86206896551724,-4.163955757970072,0.6690803544609168,53,58
KCNJ11 novel only,AM,Moderate,64.15094339622641,53.44827586206897,10.702667534157442,0.3349773623829658,53,58
KCNJ11 novel only,AM,Strong,54.716981132075475,37.93103448275862,16.785946649316855,0.08855385605923743,53,58
KCNJ11 novel only,REVEL,Supporting,92.45283018867924,93.10344827586206,-0.6506180871828207,1.0,53,58
KCNJ11 novel only,REVEL,Moderate,83.01886792452831,84.48275862068965,-1.463890696161343,1.0,53,58
KCNJ11 novel only,REVEL,Strong,54.716981132075475,37.93103448275862,16.785946649316855,0.08855385605923743,53,58
