dataset,gene,tool,lof_n,gof_n,lof_k,gof_k,lof_pct,gof_pct,gap,se,ci_lo,ci_hi,data_type,script
Hopkins 2023,KCNJ11,AM,22,34,14,10,63.63636363636363,29.41176470588235,34.22459893048128,23.73282926038475,-12.29174641987283,80.74094428083538,Clinical,01–04
Hopkins 2023,KCNJ11,REVEL,22,34,18,15,81.81818181818181,44.11764705882353,37.7005347593583,22.229679696584927,-5.8696374459481575,81.27070696466475,Clinical,01–04
Hopkins 2023,ABCC8,AM,24,23,18,8,75.0,34.78260869565217,40.21739130434783,24.495234373043836,-7.7932680668180865,88.22805067551374,Clinical,01–04
Hopkins 2023,ABCC8,REVEL,24,23,8,6,33.333333333333336,26.08695652173913,7.246376811594201,24.486457380484723,-40.747079654155854,55.23983327734426,Clinical,01–04
Hopkins 2023,GCK,AM,20,8,8,1,40.0,12.5,27.500000000000004,29.868706918050208,-31.042665559378403,86.0426655593784,Clinical,01–04
Hopkins 2023,GCK,REVEL,20,8,10,2,50.0,25.0,25.0,32.81589605944608,-39.31915627651432,89.31915627651432,Clinical,01–04
Hopkins 2023,All,AM,66,65,40,19,60.60606060606061,29.23076923076923,31.375291375291376,15.762126511088837,0.48152341355725525,62.269059337025496,Clinical,01–04
Hopkins 2023,All,REVEL,66,65,36,23,54.54545454545455,35.38461538461539,19.160839160839156,16.269324760504727,-12.727037369750107,51.04871569142842,Clinical,01–04
De Franco 2020,KCNJ11,AM,77,94,46,32,59.74025974025974,34.04255319148936,25.697706548770377,14.249886463258147,-2.232070919215591,53.62748401675634,Clinical,07
De Franco 2020,KCNJ11,REVEL,77,94,51,44,66.66666666666667,47.31182795698925,19.42525559546836,14.305472663980376,-8.613470825933177,47.4639820168699,Clinical,07
De Franco 2020,ABCC8,AM,261,123,159,56,60.88709677419355,45.76271186440678,15.391084945332217,10.473202472110524,-5.1363919000044085,35.918561790668846,Clinical,07
De Franco 2020,ABCC8,REVEL,261,123,115,34,44.17670682730924,27.92792792792793,16.419026259228108,9.838431819609312,-2.8643001072061445,35.70235262566236,Clinical,07
De Franco 2020,All,AM,338,217,205,88,60.61538461538461,40.56603773584906,20.097892182259425,8.29440131661832,3.8408656016875184,36.35491876283133,Clinical,07
De Franco 2020,All,REVEL,338,217,167,80,49.38271604938272,36.76470588235294,12.541924576664032,8.284371890809924,-3.6954443293234167,28.779293482651482,Clinical,07
GCK DMS (Gersing 2023),GCK,AM,4089,1927,2096,289,51.259476644656395,14.997405293201869,36.26207135145453,2.210492103298793,31.929506828988895,40.59463587392016,DMS Functional,05–06
ProteinGym v1.0,GCK,AM,155,31,74,13,47.74193548387097,41.935483870967744,5.806451612903224,18.15515679774179,-29.77765571067068,41.39055893647713,Benchmark,09
ClinVar Expert Panel,All,AM,202,45,103,17,50.99009900990099,37.77777777777778,13.212321232123214,15.246294777262689,-16.670416531311652,43.095058995558084,Clinical,08
GCK DMS (Gersing 2023),GCK,REVEL,3375,1540,1619,424,47.97037037037037,27.532467532467532,20.43790283790284,2.7938501701092857,14.96195650448864,25.91384917131704,DMS Functional,05–06
