dataset,gene,tool,lof_n,gof_n,lof_k,gof_k,lof_pct,gof_pct,gap,se,ci_lo,ci_hi,data_type,script
Hopkins 2023,KCNJ11,AM,22,34,14,10,63.63636363636363,29.41176470588235,34.22459893048128,12.893663536980842,8.953018397998829,59.496179462963724,Clinical,01–04
Hopkins 2023,KCNJ11,REVEL,22,34,18,15,81.81818181818181,44.11764705882353,37.7005347593583,11.837653303106029,14.498734285270483,60.90233523344611,Clinical,01–04
Hopkins 2023,ABCC8,AM,24,23,18,8,75.0,34.78260869565217,40.21739130434783,13.294827372508387,14.159529654231392,66.27525295446426,Clinical,01–04
Hopkins 2023,ABCC8,REVEL,24,23,8,6,33.333333333333336,26.08695652173913,7.246376811594201,13.282541632822806,-18.7874047887385,33.2801584119269,Clinical,01–04
Hopkins 2023,GCK,AM,20,8,8,1,40.0,12.5,27.500000000000004,16.02244519416434,-3.903992580562104,58.90399258056211,Clinical,01–04
Hopkins 2023,GCK,REVEL,20,8,10,2,50.0,25.0,25.0,18.957188610128874,-12.156089675852591,62.15608967585259,Clinical,01–04
Hopkins 2023,All,AM,66,65,40,19,60.60606060606061,29.23076923076923,31.375291375291376,8.246188970889524,15.21276099234791,47.53782175823484,Clinical,01–04
Hopkins 2023,All,REVEL,66,65,36,23,54.54545454545455,35.38461538461539,19.16083916083916,8.528832218264123,2.4443280130414813,35.877350308636835,Clinical,01–04
De Franco 2020,KCNJ11,AM,77,94,46,32,59.74025974025974,34.04255319148936,25.697706548770377,7.424434480640402,11.14581496671519,40.24959813082556,Clinical,07
De Franco 2020,KCNJ11,REVEL,77,94,51,44,66.66666666666667,47.31182795698925,19.42525559546836,7.452005436809893,4.819324939320971,34.03118625161575,Clinical,07
De Franco 2020,ABCC8,AM,261,123,159,56,60.88709677419355,45.76271186440678,15.391084945332215,5.411501121807097,4.784542746590304,25.997627144074126,Clinical,07
De Franco 2020,ABCC8,REVEL,261,123,115,34,44.17670682730924,27.92792792792793,16.419026259228108,5.0699757900662314,6.481873710698295,26.35617880775792,Clinical,07
De Franco 2020,All,AM,338,217,205,88,60.61538461538461,40.56603773584906,20.097892182259425,4.262662332275522,11.743074010999402,28.45271035351945,Clinical,07
De Franco 2020,All,REVEL,338,217,167,80,49.38271604938272,36.76470588235294,12.541924576664032,4.2569067139870285,4.198387417249457,20.885461736078607,Clinical,07
GCK DMS (Gersing 2023),GCK,AM,4089,1927,2096,289,51.2594766446564,14.997405293201869,36.26207135145453,1.1280799908292867,34.05103456942913,38.47310813347993,DMS Functional,05–06
ClinVar Expert Panel,All,AM,202,45,103,17,50.99009900990099,37.77777777777778,13.212321232123214,8.037868144997763,-2.5419003320724,28.966542796318826,Clinical,08
GCK DMS (Gersing 2023),GCK,REVEL,3375,1540,1619,424,47.97037037037037,27.53246753246753,20.43790283790284,1.4265731940803237,17.641819377505406,23.233986298300273,DMS Functional,05–06
