dataset,gene,tool,lof_n,gof_n,lof_k,gof_k,lof_pct,gof_pct,gap,se,data_type
Hopkins 2023,KCNJ11,AM,22,34,14,10,63.63636363636363,29.411764705882355,34.22459893048128,12.893663536980842,Clinical
Hopkins 2023,ABCC8,AM,24,23,18,8,75.0,34.78260869565217,40.21739130434783,13.294827372508387,Clinical
Hopkins 2023,GCK,AM,20,8,8,1,40.0,12.5,27.500000000000004,16.02244519416434,Clinical
De Franco 2020 (novel),KCNJ11,AM,53,58,29,22,54.71698113207547,37.93103448275862,16.785946649316852,9.345698041067802,Clinical
De Franco 2020 (novel),ABCC8,AM,239,97,145,40,60.66945606694561,41.23711340206185,19.432342664883752,5.913164087070629,Clinical
Hopkins 2023,KCNJ11,REVEL,22,34,18,15,81.81818181818183,44.11764705882353,37.7005347593583,11.837653303106029,Clinical
Hopkins 2023,ABCC8,REVEL,24,23,8,6,33.33333333333333,26.08695652173913,7.246376811594201,13.282541632822806,Clinical
Hopkins 2023,GCK,REVEL,20,8,10,2,50.0,25.0,25.0,18.957188610128874,Clinical
De Franco 2020 (novel),KCNJ11,REVEL,53,58,29,22,54.71698113207547,37.93103448275862,16.785946649316852,9.345698041067802,Clinical
De Franco 2020 (novel),ABCC8,REVEL,239,97,89,20,37.238493723849366,20.618556701030926,16.619937022818444,5.162592208018038,Clinical
GCK DMS (Gersing 2023),GCK,AM,4089,1927,2096,289,51.2594766446564,14.997405293201869,36.26207135145453,1.128079990829287,DMS Functional
GCK DMS (Gersing 2023),GCK,REVEL,3375,1540,1619,424,47.97037037037037,27.53246753246753,20.43790283790284,1.4265731940803237,DMS Functional
