tool,subgroup,k,pooled_gap,se,ci_lo,ci_hi,tau2,Q,I2,p_heterogeneity
AM,All,7,30.856446835068752,4.266602787466441,22.493905371634526,39.21898829850298,23.092027958735308,6.93893542222431,13.531404532416433,0.32653138375764235
AM,Clinical,5,22.870131378292267,7.331492242181179,8.500406583617156,37.23985617296738,0.0,1.303783764710178,0.0,0.8607332334842435
AM,Functional,2,26.36535383556814,14.26413852058522,-1.5923576647788913,54.323065335915175,296.5243899849491,2.772962281039141,63.93748278374491,0.09586859481672905
AM,ABCC8,2,19.228100542478543,9.629912173794091,0.3534726818421241,38.102728403114966,0.0,0.8684537119259705,0.0,0.35138374248267623
AM,KCNJ11,2,27.95720011759147,12.216862296453321,4.012150016542961,51.90225021863998,0.0,0.09488096282095762,0.0,0.7580613797968351
AM,GCK,3,29.93755445659498,8.94521577895323,12.40493152984665,47.47017738334331,103.96282628185885,2.850084889686718,29.826651576688985,0.24049825508093747
REVEL,All,6,20.239870069571626,2.5998079810262174,15.14424642676024,25.335493712383013,0.0,1.0786668515467919,0.0,0.9559745097416983
REVEL,Clinical,5,18.960959958552156,7.099938600662566,5.0450803012535275,32.876839615850784,0.0,1.0411959161874362,0.0,0.9034863227742491
REVEL,Functional,1,20.43790283790284,2.7938501701092857,14.96195650448864,25.91384917131704,0.0,0.0,0.0,1.0
REVEL,ABCC8,2,15.14405782024749,9.129106557767916,-2.7489910329776244,33.03710667347261,0.0,0.12082101224430976,0.0,0.7281457359151495
REVEL,KCNJ11,2,24.777208839035374,12.029770733473557,1.1988582014272033,48.35555947664355,0.0,0.47793837954899077,0.0,0.48935763292374623
REVEL,GCK,2,20.47073244349553,2.7837795159586536,15.014524592216567,25.92694029477449,0.0,0.0191877464961252,0.0,0.8898295895048735
