tool,subgroup,k,pooled_gap,se,ci_lo,ci_hi,tau2,Q,I2,p_heterogeneity,pi_lo,pi_hi
AM,Clinical,5,23.16679365539217,4.240298199723861,14.855809183933403,31.477778126850936,0.0,3.318459794543564,0.0,0.5060127923456155,,
AM,All,6,28.924323234106065,4.87732918300948,19.364758035407483,38.48388843280465,67.95390278931136,12.225592701568246,59.10218733723542,0.03182403400021361,4.302732347919406,53.54591412029272
AM,Functional,1,36.26207135145453,1.128079990829287,34.05103456942913,38.47310813347993,0.0,0.0,0.0,1.0,,
AM,ABCC8,2,26.4140757037388,9.816876518247305,7.1729977279740815,45.65515367950351,110.15015127973363,2.040536753740739,50.99328653763345,0.15315559532934708,,
AM,KCNJ11,2,23.242928020995222,8.420715200768504,6.738326227488955,39.74752981450149,25.258981051836667,1.199212251151575,16.61192595057933,0.27347918075847244,,
AM,GCK,2,36.21885167690478,1.1252943754638414,34.013274700995645,38.42442865281391,0.0,0.29758325208341246,0.0,0.5854014863450373,,
REVEL,Clinical,5,18.517889403160627,3.9357786033115536,10.803763340669981,26.232015465651273,0.0,3.632479406587994,0.0,0.45802241880387884,,
REVEL,All,6,20.214944943840706,1.3411889091179487,17.586214681969526,22.843675205711886,0.0,3.8428277048181876,0.0,0.5722596900602336,,
REVEL,Functional,1,20.43790283790284,1.4265731940803237,17.641819377505406,23.233986298300273,0.0,0.0,0.0,1.0,,
REVEL,ABCC8,2,15.389734083339789,4.8119076006285555,5.95839518610782,24.821072980571756,0.0,0.43265894870201443,0.0,0.5106871186267399,,
REVEL,KCNJ11,2,25.981251618729573,10.38086617296351,5.634753919721096,46.32774931773805,104.9739441066657,1.9229610189531923,47.99686576359344,0.16553060660503438,,
REVEL,GCK,2,20.463592142626812,1.4225509857632874,17.67539221053077,23.251792074722854,0.0,0.05758757123405215,0.0,0.8103503310671877,,
