dataset,tool,tier,p,p_bh
Hopkins,AM,Supporting,0.006318289726794468,0.014834245445517447
Hopkins,AM,Moderate,4.1083951814481763e-05,0.0001706564152293858
Hopkins,AM,Strong,0.00041837950221965364,0.001506166207990753
Hopkins,REVEL,Supporting,0.6801748973638193,0.7345888891529249
Hopkins,REVEL,Moderate,0.16769357546414418,0.2383013967122049
Hopkins,REVEL,Strong,0.03524756174347207,0.06563339083267214
De Franco (novel),AM,Supporting,0.23210602506290878,0.29842203222373986
De Franco (novel),AM,Moderate,0.0022120835573382785,0.0070266183586039435
De Franco (novel),AM,Strong,9.87886594638267e-05,0.00038104197221761727
De Franco (novel),REVEL,Supporting,0.1890521279419473,0.2605762434451444
De Franco (novel),REVEL,Moderate,0.09471740654974545,0.1457199406234537
De Franco (novel),REVEL,Strong,0.005221887879330825,0.014099097274193229
GCK DMS,AM,Supporting,1.0840102574709963e-179,1.463413847585845e-178
GCK DMS,AM,Moderate,2.471323986184948e-191,6.67257476269936e-190
GCK DMS,AM,Strong,1.7869316736682385e-172,1.6082385063014146e-171
GCK DMS,REVEL,Supporting,2.4269191147461726e-29,1.0921136016357777e-28
GCK DMS,REVEL,Moderate,9.293991361819533e-34,5.0187553353825475e-33
GCK DMS,REVEL,Strong,1.4041308114774996e-42,9.477882977473122e-42
Hopkins:ABCC8,AM,Supporting,0.09714662708230247,0.1457199406234537
Hopkins:ABCC8,AM,Moderate,0.004387328918773145,0.01246925061124999
Hopkins:ABCC8,AM,Strong,0.00841473219116151,0.018933147430113397
Hopkins:ABCC8,REVEL,Supporting,0.6085106382978722,0.6845744680851062
Hopkins:ABCC8,REVEL,Moderate,0.19301943958899587,0.2605762434451444
Hopkins:ABCC8,REVEL,Strong,0.7516424282019676,0.7958566886844363
Hopkins:GCK,AM,Supporting,0.09128552606813477,0.14498289434350814
Hopkins:GCK,AM,Moderate,0.010766045548654244,0.023254658385093167
Hopkins:GCK,AM,Strong,0.21435086652477958,0.28231577542288044
Hopkins:GCK,REVEL,Supporting,0.2857142857142857,0.3588039867109634
Hopkins:GCK,REVEL,Moderate,0.3106864150342411,0.38129696390565954
Hopkins:GCK,REVEL,Strong,0.40096618357487923,0.46068455134135056
Hopkins:KCNJ11,AM,Supporting,0.05631819062081049,0.09810265462979892
Hopkins:KCNJ11,AM,Moderate,0.023706864485130402,0.04572038150703721
Hopkins:KCNJ11,AM,Strong,0.014724856567742799,0.029449713135485597
Hopkins:KCNJ11,REVEL,Supporting,0.39285714285714285,0.46068455134135056
Hopkins:KCNJ11,REVEL,Moderate,1.0,1.0
Hopkins:KCNJ11,REVEL,Strong,0.006151021647099238,0.014834245445517447
De Franco (novel):KCNJ11,AM,Supporting,0.6690803544609168,0.7345888891529249
De Franco (novel):KCNJ11,AM,Moderate,0.3349773623829658,0.401972834859559
De Franco (novel):KCNJ11,AM,Strong,0.08855385605923743,0.1449063099151158
De Franco (novel):KCNJ11,REVEL,Supporting,1.0,1.0
De Franco (novel):KCNJ11,REVEL,Moderate,1.0,1.0
De Franco (novel):KCNJ11,REVEL,Strong,0.08855385605923743,0.1449063099151158
De Franco (novel):ABCC8,AM,Supporting,0.13808313523835325,0.20152673791543446
De Franco (novel):ABCC8,AM,Moderate,0.013070617366471318,0.027146666838055816
De Franco (novel):ABCC8,AM,Strong,0.0015885720118640075,0.005361430540041025
De Franco (novel):ABCC8,REVEL,Supporting,0.043799139565538193,0.07883845121796874
De Franco (novel):ABCC8,REVEL,Moderate,0.006056226400193014,0.014834245445517447
De Franco (novel):ABCC8,REVEL,Strong,0.0031010500789571205,0.00930315023687136
GCK DMS:GCK,AM,Supporting,1.0840102574709963e-179,1.463413847585845e-178
GCK DMS:GCK,AM,Moderate,2.471323986184948e-191,6.67257476269936e-190
GCK DMS:GCK,AM,Strong,1.7869316736682385e-172,1.6082385063014146e-171
GCK DMS:GCK,REVEL,Supporting,2.4269191147461726e-29,1.0921136016357777e-28
GCK DMS:GCK,REVEL,Moderate,9.293991361819533e-34,5.0187553353825475e-33
GCK DMS:GCK,REVEL,Strong,1.4041308114774996e-42,9.477882977473122e-42
