scheme,control,n_benign,tool,mech,n_disease,tier,cutoff,sens,spec,spec_lo,spec_hi,fp,lr,lr_lo,lr_hi,lr_ceiling,lr_required
Bergquist 2025,ClinVar 3-star benign (as submitted),13,AM,LoF,202,Supporting,0.17,0.9356435643564357,0.7692307692307693,0.49743126004873084,0.918206209075343,3,4.054455445544556,1.5018129634423605,10.945843031096473,4.333333333333333,2.08
Bergquist 2025,ClinVar 3-star benign (as submitted),13,AM,LoF,202,Moderate,0.792,0.6188118811881188,0.9230769230769231,0.6668546607175265,0.9862899336203037,1,8.04455445544555,1.219913956165789,53.0487056562815,13.0,4.3
Bergquist 2025,ClinVar 3-star benign (as submitted),13,AM,LoF,202,Strong,0.972,0.2871287128712871,1.0,0.7718981569447083,1.0,0,inf,,,inf,18.7
Bergquist 2025,ClinVar 3-star benign (as submitted),13,AM,GoF,45,Supporting,0.17,0.9555555555555556,0.7692307692307693,0.49743126004873084,0.918206209075343,3,4.140740740740742,1.5317207402458541,11.19377274951448,4.333333333333333,2.08
Bergquist 2025,ClinVar 3-star benign (as submitted),13,AM,GoF,45,Moderate,0.792,0.5111111111111111,0.9230769230769231,0.6668546607175265,0.9862899336203037,1,6.644444444444448,0.9891749060626088,44.631785243159364,13.0,4.3
Bergquist 2025,ClinVar 3-star benign (as submitted),13,AM,GoF,45,Strong,0.972,0.15555555555555556,1.0,0.7718981569447083,1.0,0,inf,,,inf,18.7
Bergquist 2025,ClinVar 3-star benign (as submitted),13,REVEL,LoF,163,Supporting,0.291,1.0,0.15384615384615385,0.04325726318273798,0.4223517050863101,11,1.1818181818181819,0.9373107815100462,1.490107915568731,1.1818181818181819,2.08
Bergquist 2025,ClinVar 3-star benign (as submitted),13,REVEL,LoF,163,Moderate,0.644,0.9570552147239264,0.6923076923076923,0.4236888781333764,0.8731950283838191,4,3.1104294478527605,1.3753431977545505,7.034441560379339,3.25,4.3
Bergquist 2025,ClinVar 3-star benign (as submitted),13,REVEL,LoF,163,Strong,0.879,0.6993865030674846,0.9230769230769231,0.6668546607175265,0.9862899336203037,1,9.092024539877306,1.3793366452029368,59.930917170382976,13.0,18.7
Bergquist 2025,ClinVar 3-star benign (as submitted),13,REVEL,GoF,43,Supporting,0.291,0.9767441860465116,0.15384615384615385,0.04325726318273798,0.4223517050863101,11,1.1543340380549683,0.9113623271451889,1.462082677464032,1.1818181818181819,2.08
Bergquist 2025,ClinVar 3-star benign (as submitted),13,REVEL,GoF,43,Moderate,0.644,0.9534883720930233,0.6923076923076923,0.4236888781333764,0.8731950283838191,4,3.0988372093023253,1.3674527872532523,7.022393854668553,3.25,4.3
Bergquist 2025,ClinVar 3-star benign (as submitted),13,REVEL,GoF,43,Strong,0.879,0.5581395348837209,0.9230769230769231,0.6668546607175265,0.9862899336203037,1,7.255813953488377,1.083297174242483,48.598701611541614,13.0,18.7
Bergquist 2025,gnomAD AF>=1e-4,37,AM,LoF,202,Supporting,0.17,0.9356435643564357,0.7567567567567568,0.5988239750929105,0.8663879656733671,9,3.8465346534653473,2.1764101610844273,6.798272267272243,4.111111111111111,2.08
Bergquist 2025,gnomAD AF>=1e-4,37,AM,LoF,202,Moderate,0.792,0.6188118811881188,0.918918918918919,0.7869900750149847,0.9720399336036787,3,7.632013201320137,2.5656305980936165,22.70304444778822,12.333333333333334,4.3
Bergquist 2025,gnomAD AF>=1e-4,37,AM,LoF,202,Strong,0.972,0.2871287128712871,1.0,0.9059390425448564,1.0000000000000002,0,inf,,,inf,18.7
Bergquist 2025,gnomAD AF>=1e-4,37,AM,GoF,45,Supporting,0.17,0.9555555555555556,0.7567567567567568,0.5988239750929105,0.8663879656733671,9,3.928395061728396,2.2175483972892023,6.959166158392278,4.111111111111111,2.08
