scheme,dataset,tool,tier,cutoff,lof_pct,gof_pct,gap,lof_n,gof_n,p
Bergquist 2025,Hopkins,AM,Supporting,0.17,98.48484848484848,98.46153846153847,0.02331002331001919,66,65,1.0
Bergquist 2025,Hopkins,AM,Moderate,0.792,83.33333333333334,41.53846153846154,41.794871794871796,66,65,7.819632161170748e-07
Bergquist 2025,Hopkins,AM,Strong,0.972,28.78787878787879,13.846153846153847,14.941724941724942,66,65,0.054111205097967456
Bergquist 2025,Hopkins,REVEL,Supporting,0.291,100.0,100.0,0.0,66,65,1.0
Bergquist 2025,Hopkins,REVEL,Moderate,0.644,93.93939393939394,96.92307692307692,-2.983682983682978,66,65,0.6801748973638193
Bergquist 2025,Hopkins,REVEL,Strong,0.879,74.24242424242425,52.307692307692314,21.934731934731932,66,65,0.011297879099575156
Bergquist 2025,De Franco (novel),AM,Supporting,0.17,93.15068493150685,94.83870967741936,-1.6880247459125086,292,155,0.5443803770631288
Bergquist 2025,De Franco (novel),AM,Moderate,0.792,68.15068493150685,52.903225806451616,15.24745912505523,292,155,0.001985473463953502
Bergquist 2025,De Franco (novel),AM,Strong,0.972,36.3013698630137,22.58064516129032,13.720724701723377,292,155,0.0028174011963151475
Bergquist 2025,De Franco (novel),REVEL,Supporting,0.291,98.97260273972603,98.06451612903226,0.9080866106937702,292,155,0.42209249382299924
Bergquist 2025,De Franco (novel),REVEL,Moderate,0.644,88.35616438356165,83.87096774193549,4.485196641626155,292,155,0.1890521279419473
Bergquist 2025,De Franco (novel),REVEL,Strong,0.879,59.589041095890416,40.64516129032258,18.943879805567835,292,155,0.00015217686945197183
Bergquist 2025,GCK DMS,AM,Supporting,0.17,94.30178527757398,79.39802802283342,14.903757254740558,4089,1927,2.648489286282062e-64
Bergquist 2025,GCK DMS,AM,Moderate,0.792,62.313524089019324,21.58796056045667,40.72556352856266,4089,1927,1.0926844706493048e-199
Bergquist 2025,GCK DMS,AM,Strong,0.972,31.670335045243338,5.967825635703165,25.70250940954017,4089,1927,1.4491642014020025e-126
Bergquist 2025,GCK DMS,REVEL,Supporting,0.291,98.84444444444445,95.84415584415584,3.000288600288603,3375,1540,9.789068278585602e-11
Bergquist 2025,GCK DMS,REVEL,Moderate,0.644,88.08888888888889,75.0,13.088888888888894,3375,1540,2.4269191147461726e-29
Bergquist 2025,GCK DMS,REVEL,Strong,0.879,62.903703703703705,43.116883116883116,19.786820586820593,3375,1540,2.629177864242311e-38
v26 (as submitted),Hopkins,AM,Supporting,0.564,87.87878787878788,67.6923076923077,20.186480186480182,66,65,0.006318289726794468
v26 (as submitted),Hopkins,AM,Moderate,0.74,83.33333333333334,49.23076923076923,34.1025641025641,66,65,4.1083951814481763e-05
v26 (as submitted),Hopkins,AM,Strong,0.89,60.60606060606061,29.230769230769234,31.375291375291376,66,65,0.00041837950221965364
v26 (as submitted),Hopkins,REVEL,Supporting,0.644,93.93939393939394,96.92307692307692,-2.983682983682978,66,65,0.6801748973638193
v26 (as submitted),Hopkins,REVEL,Moderate,0.773,87.87878787878788,78.46153846153847,9.417249417249419,66,65,0.16769357546414418
v26 (as submitted),Hopkins,REVEL,Strong,0.932,54.54545454545454,35.38461538461539,19.160839160839156,66,65,0.03524756174347207
v26 (as submitted),De Franco (novel),AM,Supporting,0.564,79.7945205479452,74.83870967741936,4.955810870525845,292,155,0.23210602506290878
v26 (as submitted),De Franco (novel),AM,Moderate,0.74,71.57534246575342,56.774193548387096,14.801148917366325,292,155,0.0022120835573382785
v26 (as submitted),De Franco (novel),AM,Strong,0.89,59.589041095890416,40.0,19.589041095890416,292,155,9.87886594638267e-05
v26 (as submitted),De Franco (novel),REVEL,Supporting,0.644,88.35616438356165,83.87096774193549,4.485196641626155,292,155,0.1890521279419473
v26 (as submitted),De Franco (novel),REVEL,Moderate,0.773,75.34246575342466,67.74193548387096,7.600530269553696,292,155,0.09471740654974545
v26 (as submitted),De Franco (novel),REVEL,Strong,0.932,40.41095890410959,27.09677419354839,13.3141847105612,292,155,0.005221887879330825
v26 (as submitted),GCK DMS,AM,Supporting,0.564,75.6175103937393,37.31188375713545,38.305626636603854,4089,1927,1.0840102574709963e-179
v26 (as submitted),GCK DMS,AM,Moderate,0.74,65.95744680851064,25.791385573430205,40.16606123508043,4089,1927,2.471323986184948e-191
v26 (as submitted),GCK DMS,AM,Strong,0.89,51.2594766446564,14.997405293201869,36.26207135145453,4089,1927,1.7869316736682385e-172
v26 (as submitted),GCK DMS,REVEL,Supporting,0.644,88.08888888888889,75.0,13.088888888888894,3375,1540,2.4269191147461726e-29
v26 (as submitted),GCK DMS,REVEL,Moderate,0.773,78.54814814814814,61.75324675324675,16.794901394901395,3375,1540,9.293991361819533e-34
v26 (as submitted),GCK DMS,REVEL,Strong,0.932,47.97037037037037,27.532467532467532,20.43790283790284,3375,1540,1.4041308114774996e-42
