tool,target_stability_sens,threshold,mechanism,n,detected
AM,60.0,0.89026,Stability-LoF,1860,60.0
AM,60.0,0.89026,Dynamics-LoF,2202,43.55131698455949
AM,60.0,0.89026,GoF,1891,14.859862506610257
AM,50.0,0.9374,Stability-LoF,1860,50.10752688172043
AM,50.0,0.9374,Dynamics-LoF,2202,34.19618528610354
AM,50.0,0.9374,GoF,1891,9.994711792702274
AM,40.0,0.9713,Stability-LoF,1860,40.10752688172043
AM,40.0,0.9713,Dynamics-LoF,2202,25.11353315168029
AM,40.0,0.9713,GoF,1891,5.869910100475939
REVEL,60.0,0.896,Stability-LoF,1535,60.6514657980456
REVEL,60.0,0.896,Dynamics-LoF,1821,59.362987369577155
REVEL,60.0,0.896,GoF,1515,40.462046204620464
REVEL,50.0,0.929,Stability-LoF,1535,50.74918566775244
REVEL,50.0,0.929,Dynamics-LoF,1821,48.81933003844042
REVEL,50.0,0.929,GoF,1515,29.240924092409244
REVEL,40.0,0.946,Stability-LoF,1535,40.65146579804561
REVEL,40.0,0.946,Dynamics-LoF,1821,39.75837451949478
REVEL,40.0,0.946,GoF,1515,21.716171617161717
