dataset,predictor,group,target_lof_sens,threshold,lof_sens,gof_sens,gap,ci_lo,ci_hi,n_lof,n_gof,n_distinct,sens_overshoot,usable
Hopkins,PROVEAN,conservation only,60.0,0.72932,62.121212121212125,40.0,22.121212121212118,8.298368298368297,37.52913752913753,66,65,117,2.1212121212121247,False
Hopkins,SIFT4G,conservation only,60.0,0.79402,68.18181818181817,36.92307692307693,31.258741258741253,15.99067599067599,46.57342657342657,66,65,55,8.181818181818173,False
Hopkins,LRT,conservation only,60.0,0.8433,71.21212121212122,76.92307692307693,-5.710955710955712,-20.97960372960373,9.557109557109555,66,65,12,11.212121212121218,False
Hopkins,PrimateAI,population deep learning,60.0,0.8361,60.60606060606061,60.0,0.60606060606061,-13.240675990675994,22.144522144522146,66,65,131,0.6060606060606091,True
Hopkins,MPC,regional constraint,60.0,0.91251,60.60606060606061,33.84615384615385,26.75990675990676,2.144522144522143,39.06759906759907,66,65,123,0.6060606060606091,True
Hopkins,REVEL,supervised ensemble,60.0,0.98341,60.60606060606061,35.38461538461539,25.221445221445222,12.913752913752912,39.06759906759907,66,65,103,0.6060606060606091,True
Hopkins,VEST4,supervised ensemble,60.0,0.94432,60.60606060606061,44.61538461538462,15.99067599067599,5.198135198135201,37.48251748251748,66,65,97,0.6060606060606091,False
Hopkins,MetaRNN,supervised ensemble,60.0,0.97298,60.60606060606061,40.0,20.606060606060606,2.1439393939393927,35.99067599067599,66,65,129,0.6060606060606091,True
Hopkins,ClinPred,supervised ensemble,60.0,0.85913,60.60606060606061,41.53846153846154,19.067599067599065,8.251748251748248,32.913752913752916,66,65,125,0.6060606060606091,True
Hopkins,AlphaMissense,structure + frequency,60.0,0.85237,60.60606060606061,26.153846153846157,34.452214452214456,23.682983682983682,46.75990675990676,66,65,128,0.6060606060606091,True
De Franco (novel),PROVEAN,conservation only,60.0,0.713018,59.93150684931506,43.87096774193549,16.06053910737958,8.318603623508613,25.092797171895707,292,155,331,-0.06849315068493667,True
De Franco (novel),SIFT4G,conservation only,60.0,0.7415,60.95890410958904,37.41935483870968,23.539549270879363,11.62395050817499,35.615223155103834,292,155,124,0.9589041095890423,True
De Franco (novel),LRT,conservation only,60.0,0.8433,65.75342465753424,76.77419354838709,-11.02076889085285,-19.30402121078214,-2.2827551922227203,292,155,39,5.753424657534239,False
De Franco (novel),PrimateAI,population deep learning,60.0,0.8138920000000001,59.93150684931506,64.51612903225806,-4.584622182942999,-11.338930623066734,6.725585505965526,292,155,441,-0.06849315068493667,True
De Franco (novel),MPC,regional constraint,60.0,0.7620199999999999,59.93150684931506,53.5483870967742,6.383119752540867,-0.3711886875828574,16.06053910737958,292,155,404,-0.06849315068493667,True
De Franco (novel),REVEL,supervised ensemble,60.0,0.965538,59.93150684931506,40.0,19.931506849315063,9.608926204153779,29.608926204153775,292,155,261,-0.06849315068493667,True
De Franco (novel),VEST4,supervised ensemble,60.0,0.930648,59.93150684931506,38.70967741935484,21.221829429960227,10.899248784798937,29.951391957578434,292,155,226,-0.06849315068493667,True
De Franco (novel),MetaRNN,supervised ensemble,60.0,0.930024,59.93150684931506,39.35483870967742,20.576668139637643,7.0282810428634495,28.327165267344185,292,155,437,-0.06849315068493667,True
De Franco (novel),ClinPred,supervised ensemble,60.0,0.818058,59.93150684931506,44.516129032258064,15.415377817056996,4.447635881573131,28.96376491383119,292,155,403,-0.06849315068493667,True
De Franco (novel),AlphaMissense,structure + frequency,60.0,0.847558,59.93150684931506,41.935483870967744,17.99602297834732,10.254087494476355,28.01590808661069,292,155,380,-0.06849315068493667,True
ALL,PROVEAN,conservation only,60.0,0.71997,60.614525139664806,42.27272727272727,18.341797866937537,10.510411376333161,24.601320467242253,358,220,401,0.6145251396648064,True
ALL,SIFT4G,conservation only,60.0,0.76473,61.452513966480446,34.090909090909086,27.36160487557136,15.997143219908587,34.94762569832401,358,220,149,1.4525139664804456,True
ALL,LRT,conservation only,60.0,0.8433,66.75977653631286,76.81818181818181,-10.058405281868964,-16.90959878110716,-2.6807389537836483,358,220,46,6.759776536312856,False
ALL,PrimateAI,population deep learning,60.0,0.8215020000000001,60.05586592178771,63.18181818181819,-3.1259522600304734,-11.032821229050276,5.0558659217877056,358,220,569,0.055865921787713546,True
ALL,MPC,regional constraint,60.0,0.780216,60.05586592178771,56.81818181818182,3.2376841036058868,-4.944134078212292,11.419502285424072,358,220,499,0.055865921787713546,True
ALL,REVEL,supervised ensemble,60.0,0.9690259999999999,60.05586592178771,39.54545454545455,20.510411376333167,10.789740985271711,27.887252412392083,358,220,288,0.055865921787713546,True
ALL,VEST4,supervised ensemble,60.0,0.93487,60.33519553072626,40.45454545454545,19.880650076180807,12.153377348908078,27.536820721178263,358,220,249,0.33519553072625996,True
ALL,MetaRNN,supervised ensemble,60.0,0.9368040000000001,60.05586592178771,45.45454545454545,14.601320467242257,5.96495683087862,24.14937785678008,358,220,562,0.055865921787713546,True
ALL,ClinPred,supervised ensemble,60.0,0.830812,60.05586592178771,40.0,20.055865921787706,8.68784916201117,27.78574149314371,358,220,499,0.055865921787713546,True
ALL,AlphaMissense,structure + frequency,60.0,0.847986,60.05586592178771,37.72727272727273,22.328593194514983,16.415121889283903,30.510411376333163,358,220,479,0.055865921787713546,True
Hopkins,PROVEAN,conservation only,50.0,0.788905,50.0,29.230769230769234,20.769230769230766,3.8461538461538436,34.568764568764564,66,65,117,0.0,True
Hopkins,SIFT4G,conservation only,50.0,0.83351,59.09090909090909,29.230769230769234,29.86013986013986,14.592074592074589,45.12878787878787,66,65,55,9.090909090909093,False
Hopkins,LRT,conservation only,50.0,0.8433,71.21212121212122,76.92307692307693,-5.710955710955712,-21.002331002331008,9.580419580419575,66,65,12,21.212121212121218,False
Hopkins,PrimateAI,population deep learning,50.0,0.883955,50.0,47.69230769230769,2.307692307692305,-16.153846153846153,23.846153846153843,66,65,131,0.0,True
Hopkins,MPC,regional constraint,50.0,0.91684,50.0,32.30769230769231,17.69230769230769,6.899766899766896,36.15384615384615,66,65,123,0.0,True
Hopkins,REVEL,supervised ensemble,50.0,0.98599,51.515151515151516,33.84615384615385,17.668997668997665,5.384615384615382,31.44522144522144,66,65,103,1.5151515151515156,True
Hopkins,VEST4,supervised ensemble,50.0,0.964155,50.0,30.76923076923077,19.23076923076923,-0.7692307692307665,37.66899766899767,66,65,97,0.0,False
Hopkins,MetaRNN,supervised ensemble,50.0,0.9863500000000001,50.0,29.230769230769234,20.769230769230766,2.307692307692305,36.15384615384615,66,65,129,0.0,True
Hopkins,ClinPred,supervised ensemble,50.0,0.8973599999999999,50.0,36.92307692307693,13.076923076923075,0.7220279720279665,28.438228438228435,66,65,125,0.0,True
Hopkins,AlphaMissense,structure + frequency,50.0,0.87205,50.0,23.076923076923077,26.923076923076923,16.153846153846153,42.30769230769231,66,65,128,0.0,True
De Franco (novel),PROVEAN,conservation only,50.0,0.77184,50.0,36.12903225806451,13.870967741935486,5.483870967741932,24.536014140521434,292,155,331,0.0,True
De Franco (novel),SIFT4G,conservation only,50.0,0.79402,53.76712328767124,27.09677419354839,26.670349094122848,17.636102518780387,35.821917808219176,292,155,124,3.7671232876712395,False
De Franco (novel),LRT,conservation only,50.0,0.8433,65.75342465753424,76.77419354838709,-11.02076889085285,-19.42333186036236,-2.7375165709235483,292,155,39,15.75342465753424,False
De Franco (novel),PrimateAI,population deep learning,50.0,0.84567,50.0,56.774193548387096,-6.774193548387098,-13.87096774193548,3.2456915598762737,292,155,441,0.0,True
De Franco (novel),MPC,regional constraint,50.0,0.813435,50.0,45.806451612903224,4.193548387096774,-3.548387096774197,12.581639416703485,292,155,404,0.0,True
De Franco (novel),REVEL,supervised ensemble,50.0,0.976055,50.0,32.25806451612903,17.741935483870968,8.709677419354838,24.878479893946093,292,155,261,0.0,True
De Franco (novel),VEST4,supervised ensemble,50.0,0.95139,51.02739726027398,32.25806451612903,18.769332744144947,10.382235969951397,26.774193548387093,292,155,226,1.027397260273979,True
